Inner cell mass,ICM-preimplantation epiblast,epiblast ,post implantation epiblast,GASTRULATION
AQP3,ANPEP,DMRTB1,ARHGEF19,BMP4
CLDN4,ANXA1,DNMT3L,BMP4,CDH7
ESRRB,CD53,HIST1H1C,CAV1,HMGA2
IL6R,FGFR3,KHDC3L,CCND1,ITM2A
TBX3,GDF15,LGALS1,CCND2,SFRP1
,KHDC1L,NLRP2,FGF2,TPM1
,KLF4,SPP1,FST,WWC3
,KLF5,TUBB6,GPC4,ZIC2
,OOEP,ZYG11A,HAS3,
,S100P,,HESX1,EOMES
,TFAP2C,F2RL1,KDR,FN1
,TFCP2L1,FAM19A4,SFRP1,GATA4
,,GABRB3,SFRP2,ID2
,,GDF3,SOX11,MIXL1
,,ITGA7,,PITX2
,,MYLIP,,T 
,,NPY1R,,
,,PLP1,,
,,RNASET2,,
,,SFRP2,,
,,SGK1,,
,,SLAIN1,,
,,SOX2,,
,,USP44,,
,,VAT1L,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,